Unnamed: 0,Model,Price,Rating,Generation,Core,Ram,SSD,Display,Graphics,OS,Warranty,image_url
173,Chuwi FreeBook Laptop (12th Gen Core i3/ 12GB/ 512GB SSD/ Win11),"₹27,990",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",12 GB LPDDR4 RAM,512 GB SSD,"13.5 inches, 2256 x 1504 pixels, Touch Screen",Intel Integrated Intel UHD Graphics,Windows 11 OS,1 Year Warranty,https://cdn-icons-png.flaticon.com/512/179/179386.png
174,HP 15S-FQ5202TU Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),"₹47,990",53.0,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel Iris Xe Graphics,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08089690.png
175,Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),"₹29,990",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB LPDDR4X RAM,512 GB SSD,"14 inches, 1920 x 1080 pixels",Intel Integrated Iris Xe,Windows 11 OS,1 Year Warranty,https://cdn-icons-png.flaticon.com/512/179/179386.png
176,HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹52,499",68.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB AMD Radeon RX 6500M Graphics,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08475706.png
177,Asus TUF Gaming F15 FX577ZC-HN192W Gaming Laptop (12th Gen Core i7/ 16GB/1TB SSD/ Win11 / 4GB Graph),"₹84,990",72.0,12th Gen Intel Core i7 12700H ,"14 Cores, 20 Threads",16 GB DDR5 RAM,1 TB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/8D0F1F7A-17A0-452B-A76A-E5FD0C5F8C71
178,MSI Thin GF63 11SC-1494IN Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹41,990",60.0,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce GTX 1650,Windows 11 OS,2 Year Warranty,https://cdn-icons-png.flaticon.com/512/179/179386.png
179,Asus VivoBook 15 X1500EA-EJ326WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹31,990",52.0,11th Gen intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4  RAM,512 GB SSD,"15.6 inches, 1920 x 1080 pixels",Intel UHD Graphics,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/0F3A3C65-88A8-46F8-8D38-9C6BB2A98E2D
180,Lenovo LOQ 15IRH8 82XV00BRIN 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),"₹1,04,990",60.0,13th Gen Intel Core i7,16 GB DDR5 RAM,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,Backlit Keyboard,https://p1-ofp.static.pub/fes/cms/2022/09/30/wt4h71o6lm0vph0c7s6ec17znh44cf39466.png
181,HP Victus 16-D0314TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹60,200",71.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,"16.1 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce GTX 1650,Windows 11 OS,1 Year Warranty,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08475706.png
182,Asus Zenbook 14X OLED 2023 UX5401ZA-KM541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹67,990",62.0,12th Gen Intel Core i5 12500H ,"12 Cores (4P + 8E), 16 Threads",16 GB  RAM,512 GB SSD,"14 inches, 2880 x 1800 pixels",Intel Iris Xe,Windows 11 OS,1 Year Warranty,https://dlcdnwebimgs.asus.com/gain/0F3A3C65-88A8-46F8-8D38-9C6BB2A98E2D
